add_missing_from	off		Version and Platform Compatibility / Previous PostgreSQL Versions	Automatically adds missing table references to FROM clauses.		user	bool	default				off	off		
allow_system_table_mods	off		Developer Options	Allows modifications of the structure of system tables.		postmaster	bool	default				off	off		
archive_command	(disabled)		Write-Ahead Log / Settings	Sets the shell command that will be called to archive a WAL file.		sighup	string	default							
archive_mode	off		Write-Ahead Log / Settings	Allows archiving of WAL files using archive_command.		postmaster	bool	default				off	off		
archive_timeout	0	s	Write-Ahead Log / Settings	Forces a switch to the next xlog file if a new file has not been started within N seconds.		sighup	integer	default	0	1073741823		0	0		
array_nulls	on		Version and Platform Compatibility / Previous PostgreSQL Versions	Enable input of NULL elements in arrays.	When turned on, unquoted NULL in an array input value means a null value; otherwise it is taken literally.	user	bool	default				on	on		
authentication_timeout	60	s	Connections and Authentication / Security and Authentication	Sets the maximum allowed time to complete client authentication.		sighup	integer	default	1	600		60	60		
autovacuum	on		Autovacuum	Starts the autovacuum subprocess.		sighup	bool	default				on	on		
autovacuum_analyze_scale_factor	0.1		Autovacuum	Number of tuple inserts, updates or deletes prior to analyze as a fraction of reltuples.		sighup	real	default	0	100		0.1	0.1		
autovacuum_analyze_threshold	50		Autovacuum	Minimum number of tuple inserts, updates or deletes prior to analyze.		sighup	integer	default	0	2147483647		50	50		
autovacuum_freeze_max_age	200000000		Autovacuum	Age at which to autovacuum a table to prevent transaction ID wraparound.		postmaster	integer	default	100000000	2000000000		200000000	200000000		
autovacuum_max_workers	3		Autovacuum	Sets the maximum number of simultaneously running autovacuum worker processes.		postmaster	integer	default	1	536870911		3	3		
autovacuum_naptime	60	s	Autovacuum	Time to sleep between autovacuum runs.		sighup	integer	default	1	2147483		60	60		
autovacuum_vacuum_cost_delay	20	ms	Autovacuum	Vacuum cost delay in milliseconds, for autovacuum.		sighup	integer	default	-1	100		20	20		
autovacuum_vacuum_cost_limit	-1		Autovacuum	Vacuum cost amount available before napping, for autovacuum.		sighup	integer	default	-1	10000		-1	-1		
autovacuum_vacuum_scale_factor	0.2		Autovacuum	Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.		sighup	real	default	0	100		0.2	0.2		
autovacuum_vacuum_threshold	50		Autovacuum	Minimum number of tuple updates or deletes prior to vacuum.		sighup	integer	default	0	2147483647		50	50		
backslash_quote	safe_encoding		Version and Platform Compatibility / Previous PostgreSQL Versions	Sets whether "\'" is allowed in string literals.		user	enum	default			{safe_encoding,on,off}	safe_encoding	safe_encoding		
bgwriter_delay	200	ms	Resource Usage	Background writer sleep time between rounds.		sighup	integer	default	10	10000		200	200		
bgwriter_lru_maxpages	100		Resource Usage	Background writer maximum number of LRU pages to flush per round.		sighup	integer	default	0	1000		100	100		
bgwriter_lru_multiplier	2		Resource Usage	Multiple of the average buffer usage to free per round.		sighup	real	default	0	10		2	2		
block_size	8192		Preset Options	Shows the size of a disk block.		internal	integer	default	8192	8192		8192	8192		
bonjour_name			Connections and Authentication / Connection Settings	Sets the Bonjour broadcast service name.		postmaster	string	default							
check_function_bodies	on		Client Connection Defaults / Statement Behavior	Check function bodies during CREATE FUNCTION.		user	bool	default				on	on		
checkpoint_completion_target	0.5		Write-Ahead Log / Checkpoints	Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval.		sighup	real	default	0	1		0.5	0.5		
checkpoint_segments	3		Write-Ahead Log / Checkpoints	Sets the maximum distance in log segments between automatic WAL checkpoints.		sighup	integer	default	1	2147483647		3	3		
checkpoint_timeout	300	s	Write-Ahead Log / Checkpoints	Sets the maximum time between automatic WAL checkpoints.		sighup	integer	default	30	3600		300	300		
checkpoint_warning	30	s	Write-Ahead Log / Checkpoints	Enables warnings if checkpoint segments are filled more frequently than this.	Write a message to the server log if checkpoints caused by the filling of checkpoint segment files happens more frequently than this number of seconds. Zero turns off the warning.	sighup	integer	default	0	2147483647		30	30		
client_encoding	UTF8		Client Connection Defaults / Locale and Formatting	Sets the client's character set encoding.		user	string	client				SQL_ASCII	UTF8		
client_min_messages	notice		Reporting and Logging / When to Log	Sets the message levels that are sent to the client.	Each level includes all the levels that follow it. The later the level, the fewer messages are sent.	user	enum	default			{debug5,debug4,debug3,debug2,debug1,log,notice,warning,error}	notice	notice		
commit_delay	0		Write-Ahead Log / Settings	Sets the delay in microseconds between transaction commit and flushing WAL to disk.		user	integer	default	0	100000		0	0		
commit_siblings	5		Write-Ahead Log / Settings	Sets the minimum concurrent open transactions before performing commit_delay.		user	integer	default	1	1000		5	5		
config_file	C:/Program Files (x86)/PostgreSQL/8.4/data/postgresql.conf		File Locations	Sets the server's main configuration file.		postmaster	string	override					C:/Program Files (x86)/PostgreSQL/8.4/data/postgresql.conf		
constraint_exclusion	partition		Query Tuning / Other Planner Options	Enables the planner to use constraints to optimize queries.	Table scans will be skipped if their constraints guarantee that no rows match the query.	user	enum	default			{partition,on,off}	partition	partition		
cpu_index_tuple_cost	0.005		Query Tuning / Planner Cost Constants	Sets the planner's estimate of the cost of processing each index entry during an index scan.		user	real	default	0	1.79769e+308		0.005	0.005		
cpu_operator_cost	0.0025		Query Tuning / Planner Cost Constants	Sets the planner's estimate of the cost of processing each operator or function call.		user	real	default	0	1.79769e+308		0.0025	0.0025		
cpu_tuple_cost	0.01		Query Tuning / Planner Cost Constants	Sets the planner's estimate of the cost of processing each tuple (row).		user	real	default	0	1.79769e+308		0.01	0.01		
cursor_tuple_fraction	0.1		Query Tuning / Other Planner Options	Sets the planner's estimate of the fraction of a cursor's rows that will be retrieved.		user	real	default	0	1		0.1	0.1		
custom_variable_classes			Customized Options	Sets the list of known custom variable classes.		sighup	string	default							
data_directory	C:/Program Files (x86)/PostgreSQL/8.4/data		File Locations	Sets the server's data directory.		postmaster	string	override					C:/Program Files (x86)/PostgreSQL/8.4/data		
